================================================================================
CRAWLER V2
================================================================================
Fuente: Banco Central de Bolivia
URL configurada: https://www.bcb.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.bcb.gob.bo/
  Utilizada: https://www.bcb.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.bcb.gob.bo/

URL de trabajo: https://www.bcb.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[BCB] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.bcb.gob.bo/
[BCB] t= 537.9s | pag=111 | files=1800 | data=  6 | cola= 192 | prio= 2 | https://www.bcb.gob.bo/?page=11&q=reporte-estadistico
[BCB] t= 539.6s | pag=112 | files=1820 | data=  6 | cola= 191 | prio= 2 | https://www.bcb.gob.bo/?page=12&q=reporte-estadistico
[BCB] t= 541.3s | pag=113 | files=1840 | data=  6 | cola= 190 | prio= 2 | https://www.bcb.gob.bo/?page=15&q=reporte-estadistico
[BCB] t= 542.6s | pag=114 | files=1850 | data=  6 | cola= 189 | prio= 2 | https://www.bcb.gob.bo/?page=13&q=reporte-estadistico
[BCB] t= 544.0s | pag=115 | files=1867 | data=  6 | cola= 188 | prio= 2 | https://www.bcb.gob.bo/?page=14&q=reporte-estadistico
[BCB] t= 545.7s | pag=116 | files=1877 | data=  6 | cola= 187 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 547.1s | pag=117 | files=1877 | data=  6 | cola= 186 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 548.9s | pag=118 | files=1877 | data=  6 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 550.7s | pag=119 | files=1877 | data=  6 | cola= 184 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 552.0s | pag=120 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 553.8s | pag=121 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 555.4s | pag=122 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 557.1s | pag=123 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 558.9s | pag=124 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=18&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 560.2s | pag=125 | files=1877 | data=  6 | cola= 187 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 561.9s | pag=126 | files=1877 | data=  6 | cola= 186 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 563.7s | pag=127 | files=1877 | data=  6 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 565.3s | pag=128 | files=1877 | data=  6 | cola= 184 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 567.0s | pag=129 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 568.6s | pag=130 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 570.7s | pag=131 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 572.4s | pag=132 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 574.1s | pag=133 | files=1877 | data=  6 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?page=18&q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 575.4s | pag=134 | files=1877 | data=  6 | cola= 187 | prio= 2 | https://www.bcb.gob.bo/?page=9&q=indicadores_inflacion
[BCB] t= 577.3s | pag=135 | files=1877 | data=  6 | cola= 186 | prio= 2 | https://www.bcb.gob.bo/?page=10&q=indicadores_inflacion
[BCB] t= 578.5s | pag=136 | files=1877 | data=  6 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/?page=11&q=indicadores_inflacion
